goos: linux
goarch: amd64
pkg: github.com/aminkbi/taskforge/test/benchmark
cpu: AMD Ryzen 9 5900HS with Radeon Graphics        
BenchmarkSnapshotCosts/metrics/tenants_1/payload_65536-16       	      30	    117658 ns/op	         4.000 redis_commands/op	       901.6 redis_network_bytes/op	         2.000 redis_round_trips/op	    2048 B/op	      45 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_1/payload_65536-16 	      30	    507280 ns/op	         5.000 redis_commands/op	     88677 redis_network_bytes/op	         4.000 redis_round_trips/op	  249454 B/op	      83 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_1/payload_65536-16 	      30	    528638 ns/op	         5.000 redis_commands/op	     88677 redis_network_bytes/op	         4.000 redis_round_trips/op	  249280 B/op	      83 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_1/payload_65536-16 	      30	    553114 ns/op	         5.000 redis_commands/op	     88677 redis_network_bytes/op	         4.000 redis_round_trips/op	  249455 B/op	      83 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_1/payload_65536-16 	      30	    554803 ns/op	         5.000 redis_commands/op	     88677 redis_network_bytes/op	         4.000 redis_round_trips/op	  249629 B/op	      84 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_1/payload_65536-16 	      30	    539057 ns/op	         5.000 redis_commands/op	     88677 redis_network_bytes/op	         4.000 redis_round_trips/op	  249629 B/op	      84 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_1/payload_65536-16 	      30	    531451 ns/op	         5.000 redis_commands/op	     88677 redis_network_bytes/op	         4.000 redis_round_trips/op	  249994 B/op	      84 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_1/payload_65536-16 	      30	    552570 ns/op	         5.000 redis_commands/op	     88677 redis_network_bytes/op	         4.000 redis_round_trips/op	  249454 B/op	      83 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_1/payload_65536-16 	      30	    526992 ns/op	         5.000 redis_commands/op	     88677 redis_network_bytes/op	         4.000 redis_round_trips/op	  249455 B/op	      83 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_1/payload_65536-16 	      30	    549749 ns/op	         5.000 redis_commands/op	     88677 redis_network_bytes/op	         4.000 redis_round_trips/op	  249454 B/op	      83 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_1/payload_65536-16 	      30	    506346 ns/op	         5.000 redis_commands/op	     88677 redis_network_bytes/op	         4.000 redis_round_trips/op	  249454 B/op	      83 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_16/payload_256-16        	      30	    228567 ns/op	        49.00 redis_commands/op	     12579 redis_network_bytes/op	         2.000 redis_round_trips/op	   26656 B/op	     394 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_16/payload_256-16        	      30	    248329 ns/op	        49.00 redis_commands/op	     12579 redis_network_bytes/op	         2.000 redis_round_trips/op	   26656 B/op	     394 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_16/payload_256-16        	      30	    233864 ns/op	        49.00 redis_commands/op	     12579 redis_network_bytes/op	         2.000 redis_round_trips/op	   26656 B/op	     394 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_16/payload_256-16        	      30	    232579 ns/op	        49.00 redis_commands/op	     12579 redis_network_bytes/op	         2.000 redis_round_trips/op	   26660 B/op	     394 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_16/payload_256-16        	      30	    239161 ns/op	        49.00 redis_commands/op	     12579 redis_network_bytes/op	         2.000 redis_round_trips/op	   26656 B/op	     394 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_16/payload_256-16        	      30	    227054 ns/op	        49.00 redis_commands/op	     12579 redis_network_bytes/op	         2.000 redis_round_trips/op	   26656 B/op	     394 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_16/payload_256-16        	      30	    229866 ns/op	        49.00 redis_commands/op	     12579 redis_network_bytes/op	         2.000 redis_round_trips/op	   26656 B/op	     394 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_16/payload_256-16        	      30	    246851 ns/op	        49.00 redis_commands/op	     12579 redis_network_bytes/op	         2.000 redis_round_trips/op	   26656 B/op	     394 allocs/op
