goos: linux
goarch: amd64
pkg: github.com/aminkbi/taskforge/test/benchmark
cpu: AMD Ryzen 9 5900HS with Radeon Graphics        
BenchmarkSnapshotCosts/metrics/tenants_1/payload_65536-16       	      30	    714297 ns/op	         6.000 redis_commands/op	    264572 redis_network_bytes/op	         6.000 redis_round_trips/op	  432515 B/op	     166 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_1/payload_65536-16 	      30	   1383406 ns/op	        11.00 redis_commands/op	    528754 redis_network_bytes/op	        10.00 redis_round_trips/op	  864637 B/op	     287 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_1/payload_65536-16 	      30	   1351585 ns/op	        11.00 redis_commands/op	    528748 redis_network_bytes/op	        10.00 redis_round_trips/op	  864463 B/op	     287 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_1/payload_65536-16 	      30	   1408350 ns/op	        11.00 redis_commands/op	    528754 redis_network_bytes/op	        10.00 redis_round_trips/op	  864421 B/op	     286 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_1/payload_65536-16 	      30	   1400842 ns/op	        11.00 redis_commands/op	    528754 redis_network_bytes/op	        10.00 redis_round_trips/op	  864272 B/op	     286 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_1/payload_65536-16 	      30	   1409641 ns/op	        11.00 redis_commands/op	    528754 redis_network_bytes/op	        10.00 redis_round_trips/op	  864645 B/op	     287 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_1/payload_65536-16 	      30	   1325439 ns/op	        11.00 redis_commands/op	    528754 redis_network_bytes/op	        10.00 redis_round_trips/op	  864813 B/op	     287 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_1/payload_65536-16 	      30	   1356296 ns/op	        11.00 redis_commands/op	    528754 redis_network_bytes/op	        10.00 redis_round_trips/op	  863850 B/op	     285 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_1/payload_65536-16 	      30	   1315499 ns/op	        11.00 redis_commands/op	    528754 redis_network_bytes/op	        10.00 redis_round_trips/op	  864656 B/op	     287 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_1/payload_65536-16 	      30	   1359714 ns/op	        11.00 redis_commands/op	    528754 redis_network_bytes/op	        10.00 redis_round_trips/op	  864471 B/op	     287 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_1/payload_65536-16 	      30	   1329859 ns/op	        11.00 redis_commands/op	    528754 redis_network_bytes/op	        10.00 redis_round_trips/op	  864790 B/op	     287 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_16/payload_256-16        	      30	   5355124 ns/op	        81.00 redis_commands/op	     53322 redis_network_bytes/op	        81.00 redis_round_trips/op	  121720 B/op	    2523 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_16/payload_256-16        	      30	   5306756 ns/op	        81.00 redis_commands/op	     53334 redis_network_bytes/op	        81.00 redis_round_trips/op	  121903 B/op	    2523 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_16/payload_256-16        	      30	   5319940 ns/op	        81.00 redis_commands/op	     53322 redis_network_bytes/op	        81.00 redis_round_trips/op	  121889 B/op	    2523 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_16/payload_256-16        	      30	   5253449 ns/op	        81.00 redis_commands/op	     53334 redis_network_bytes/op	        81.00 redis_round_trips/op	  121532 B/op	    2522 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_16/payload_256-16        	      30	   5395972 ns/op	        81.00 redis_commands/op	     53331 redis_network_bytes/op	        81.00 redis_round_trips/op	  121518 B/op	    2522 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_16/payload_256-16        	      30	   5355420 ns/op	        81.00 redis_commands/op	     53328 redis_network_bytes/op	        81.00 redis_round_trips/op	  121330 B/op	    2522 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_16/payload_256-16        	      30	   5361027 ns/op	        81.00 redis_commands/op	     53319 redis_network_bytes/op	        81.00 redis_round_trips/op	  122049 B/op	    2523 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_16/payload_256-16        	      30	   5330106 ns/op	        81.00 redis_commands/op	     53331 redis_network_bytes/op	        81.00 redis_round_trips/op	  121861 B/op	    2523 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_16/payload_256-16        	      30	   5424998 ns/op	        81.00 redis_commands/op	     53319 redis_network_bytes/op	        81.00 redis_round_trips/op	  121861 B/op	    2523 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_16/payload_256-16        	      30	   5385336 ns/op	        81.00 redis_commands/op	     53316 redis_network_bytes/op	        81.00 redis_round_trips/op	  121894 B/op	    2523 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_16/payload_256-16  	      30	   7696974 ns/op	       146.0 redis_commands/op	    101310 redis_network_bytes/op	       115.0 redis_round_trips/op	  227605 B/op	    4087 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_16/payload_256-16  	      30	   7847174 ns/op	       146.0 redis_commands/op	    101316 redis_network_bytes/op	       115.0 redis_round_trips/op	  227223 B/op	    4086 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_16/payload_256-16  	      30	   8040197 ns/op	       146.0 redis_commands/op	    101310 redis_network_bytes/op	       115.0 redis_round_trips/op	  227592 B/op	    4086 allocs/op
